tag,day,round,gamma,err,ratio
no noise,21,10,-0.345703125,0.004223227277491914,0.9966770403989401
no noise,21,11,-0.3486328125,0.0012935397774919144,0.998982826849637
no noise,21,12,-0.35009765625,0.0001713039725080856,1.0001346632692099
no noise,22,1,0.0,0.33579799766262675,0.7227381162659067
no noise,22,2,-1.5,1.1642020023373734,1.5138605734177915
no noise,22,3,-0.75,0.41420200233737325,1.2836396213837233
no noise,22,4,-0.375,0.039202002337373254,1.030519745972548
no noise,22,5,-0.1875,0.14829799766262675,0.8800701509167997
no noise,22,6,-0.28125,0.054547997662626746,0.95662270877016
no noise,22,7,-0.328125,0.007672997662626746,0.9939593762194321
no noise,22,8,-0.3515625,0.015764502337373254,1.0123433952981615
no noise,22,9,-0.33984375,0.004045752337373254,1.003176506579708
no noise,22,10,-0.333984375,0.001813622662626746,0.9985741157989686
no noise,22,11,-0.3369140625,0.001116064837373254,1.0008768680620068
no noise,22,12,-0.33544921875,0.000348778912626746,0.9997258794924541
no noise,23,1,0.0,0.38289761779544695,0.741920354376539
no noise,23,2,-1.5,1.117102382204553,1.277632120580121
no noise,23,3,-0.75,0.36710238220455305,1.1768762812324163
no noise,23,4,-0.375,0.007897617795446954,0.9952983045325673
no noise,23,5,-0.5625,0.17960238220455305,1.0972292499657659
no noise,23,6,-0.46875,0.08585238220455305,1.0488721009850657
no noise,23,7,-0.421875,0.038977382204553046,1.0227062171997645
no noise,23,8,-0.3984375,0.015539882204553046,1.0091530913087903
no noise,23,9,-0.38671875,0.003821132204553046,1.0022628200298804
no noise,23,10,-0.380859375,0.002038242795446954,0.9987897676276662
no noise,23,11,-0.3837890625,0.000891444704553046,1.0005286046510262
no noise,23,12,-0.38232421875,0.000573399045446954,0.9996597626646804
no noise,24,1,0.0,0.3466373203731882,0.7146497909218733
no noise,24,2,-1.5,1.1533626796268117,1.529442545803259
no noise,24,3,-0.75,0.4033626796268118,1.2810409374627794
no noise,24,4,-0.375,0.028362679626811826,1.022211535549703
no noise,24,5,-0.1875,0.15913732037318817,0.8711859960754692
no noise,24,6,-0.28125,0.06538732037318817,0.9478311964458294
no noise,24,7,-0.328125,0.018512320373188174,0.9853592290472865
no noise,24,8,-0.3515625,0.004925179626811826,1.0038765615664718
no noise,24,9,-0.33984375,0.006793570373188174,0.9946398584855284
no noise,24,10,-0.345703125,0.0009341953731881736,0.9992638052919705
no noise,24,11,-0.3486328125,0.0019954921268118264,1.0015715952610202
no noise,24,12,-0.34716796875,0.0005306483768118264,1.0004180516095302
no noise,25,1,0.0,0.3509913746820007,0.7289865396836901
no noise,25,2,-1.5,1.1490086253179994,1.3069929512953782
no noise,25,3,-0.75,0.3990086253179993,1.214726750209544
no noise,25,4,-0.375,0.0240086253179993,1.0162322298658015
no noise,25,5,-0.1875,0.1634913746820007,0.8804248997016546
no noise,25,6,-0.28125,0.0697413746820007,0.9508080105019173
no noise,25,7,-0.328125,0.0228663746820007,0.9841971756843685
no noise,25,8,-0.3515625,0.0005711253179992992,1.0003904701082131
no noise,25,9,-0.33984375,0.0111476246820007,0.9923369823977418
no noise,25,10,-0.345703125,0.005288249682000701,0.9963746158729426
no noise,25,11,-0.3486328125,0.0023585621820007008,0.9983852776941008
no noise,25,12,-0.35009765625,0.0008937184320007008,0.9993885591036848
no noise,26,1,0.0,0.44208200849984325,0.7164685669481758
no noise,26,2,-1.5,1.0579179915001569,1.1421796165973472
no noise,26,3,-0.75,0.30791799150015675,1.1173457400171511
no noise,26,4,-0.375,0.06708200849984325,0.9648007236162818
no noise,26,5,-0.5625,0.12041799150015675,1.0546617958433617
no noise,26,6,-0.46875,0.02666799150015675,1.0130640072766275
no noise,26,7,-0.421875,0.02020700849984325,0.9897454800585463
no noise,26,8,-0.4453125,0.0032304915001567513,1.0016110904974391
no noise,26,9,-0.43359375,0.008488258499843249,0.9957295236258545
no noise,26,10,-0.439453125,0.0026288834998432487,0.9986831623895666
no noise,26,11,-0.4423828125,0.00030080400015675135,1.0001503458007894
no noise,26,12,-0.44091796875,0.0011640397498432487,0.9994175582524177
no noise,27,1,0.0,0.4893613343933322,0.7137643848756198
no noise,27,2,-1.5,1.0106386656066677,1.1595326089770894
no noise,27,3,-0.75,0.2606386656066678,1.0955347366418924
no noise,27,4,-0.375,0.11436133439333218,0.9446464352020032
no noise,27,5,-0.5625,0.07313866560666782,1.0311514157974941
